license_plate,bus_description,capacity
38B-771.16,Xe giường nằm 38 chỗ (Normal),38
43B-212.63,Xe giường nằm 38 chỗ (Normal),38
29B-645.12,Xe giường nằm 38 chỗ (Normal),38
30F-700.79,Xe Limousine 21 chỗ (VIP),21
73B-318.88,Xe giường nằm 38 chỗ (Normal),38
37B-283.57,Xe giường nằm 38 chỗ (Normal),38
38B-642.35,Xe Limousine 21 chỗ (VIP),21
29B-529.13,Xe giường nằm 38 chỗ (Normal),38
30F-481.69,Xe giường nằm 38 chỗ (Normal),38
37B-283.71,Xe giường nằm 38 chỗ (Normal),38
29B-595.76,Xe giường nằm 38 chỗ (Normal),38
37B-779.50,Xe giường nằm 38 chỗ (Normal),38
30F-710.35,Xe giường nằm 38 chỗ (Normal),38
38B-524.48,Xe giường nằm 38 chỗ (Normal),38
38B-253.84,Xe Limousine 21 chỗ (VIP),21
29B-176.42,Xe giường nằm 38 chỗ (Normal),38
37B-494.99,Xe giường nằm 38 chỗ (Normal),38
73B-694.55,Xe giường nằm 38 chỗ (Normal),38
29B-186.10,Xe Limousine 21 chỗ (VIP),21
73B-499.51,Xe giường nằm 38 chỗ (Normal),38
43B-877.59,Xe Limousine 21 chỗ (VIP),21
43B-489.84,Xe giường nằm 38 chỗ (Normal),38
37B-340.65,Xe Limousine 21 chỗ (VIP),21
73B-157.22,Xe giường nằm 38 chỗ (Normal),38
43B-259.50,Xe Limousine 21 chỗ (VIP),21
29B-457.52,Xe giường nằm 38 chỗ (Normal),38
29B-388.82,Xe giường nằm 38 chỗ (Normal),38
29B-367.21,Xe giường nằm 38 chỗ (Normal),38
29B-926.70,Xe Limousine 21 chỗ (VIP),21
38B-149.71,Xe giường nằm 38 chỗ (Normal),38
29B-777.78,Xe giường nằm 38 chỗ (Normal),38
73B-844.17,Xe giường nằm 38 chỗ (Normal),38
30F-235.60,Xe Limousine 21 chỗ (VIP),21
38B-644.65,Xe giường nằm 38 chỗ (Normal),38
43B-847.16,Xe giường nằm 38 chỗ (Normal),38
37B-437.23,Xe Limousine 21 chỗ (VIP),21
73B-178.82,Xe Limousine 21 chỗ (VIP),21
30F-171.88,Xe Limousine 21 chỗ (VIP),21
37B-230.25,Xe giường nằm 38 chỗ (Normal),38
73B-792.56,Xe giường nằm 38 chỗ (Normal),38
73B-516.38,Xe giường nằm 38 chỗ (Normal),38
37B-482.94,Xe giường nằm 38 chỗ (Normal),38
43B-770.99,Xe giường nằm 38 chỗ (Normal),38
37B-209.94,Xe Limousine 21 chỗ (VIP),21
73B-208.68,Xe giường nằm 38 chỗ (Normal),38
30F-216.30,Xe giường nằm 38 chỗ (Normal),38
37B-669.19,Xe giường nằm 38 chỗ (Normal),38
43B-892.70,Xe Limousine 21 chỗ (VIP),21
37B-291.34,Xe Limousine 21 chỗ (VIP),21
43B-353.73,Xe Limousine 21 chỗ (VIP),21
