loc_id,station,province
LOC_HN_001,Bến xe Nước Ngầm,Hà Nội
LOC_HN_002,Bến xe Mỹ Đình,Hà Nội
LOC_HN_003,Bến xe Giáp Bát,Hà Nội
LOC_HN_004,Bến xe Yên Nghĩa,Hà Nội
LOC_NA_001,Bến xe Bắc Vinh,Nghệ An
LOC_NA_002,Bến xe Chợ Vinh,Nghệ An
LOC_NA_003,Bến xe Miền Trung,Nghệ An
LOC_HT_001,Bến xe Hà Tĩnh,Hà Tĩnh
LOC_HT_002,Bến xe Hồng Lĩnh,Hà Tĩnh
LOC_HT_003,Bến xe Kỳ Anh,Hà Tĩnh
LOC_QB_001,Bến xe Đồng Hới,Quảng Bình
LOC_QB_002,Bến xe Ba Đồn,Quảng Bình
LOC_QB_003,Bến xe Hoàn Lão,Quảng Bình
LOC_DN_001,Bến xe Trung tâm Đà Nẵng,Đà Nẵng
LOC_DN_002,Bến xe Đức Long,Đà Nẵng
