tic_id,seat_id
TIC_00001,SEAT_004
TIC_00002,SEAT_033
TIC_00003,SEAT_027
TIC_00004,SEAT_010
TIC_00005,SEAT_033
TIC_00006,SEAT_018
TIC_00007,SEAT_016
TIC_00008,SEAT_021
TIC_00009,SEAT_015
TIC_00010,SEAT_027
TIC_00011,SEAT_010
TIC_00012,SEAT_020
TIC_00013,SEAT_006
TIC_00014,SEAT_025
TIC_00015,SEAT_014
TIC_00016,SEAT_015
TIC_00017,SEAT_023
TIC_00018,SEAT_013
TIC_00019,SEAT_008
TIC_00020,SEAT_025
TIC_00021,SEAT_006
TIC_00022,SEAT_017
TIC_00023,SEAT_020
TIC_00024,SEAT_002
TIC_00025,SEAT_002
TIC_00026,SEAT_017
TIC_00027,SEAT_009
TIC_00028,SEAT_034
TIC_00029,SEAT_010
TIC_00030,SEAT_033
TIC_00031,SEAT_023
TIC_00032,SEAT_006
TIC_00033,SEAT_018
TIC_00034,SEAT_009
TIC_00035,SEAT_011
TIC_00036,SEAT_030
TIC_00037,SEAT_024
TIC_00038,SEAT_030
TIC_00039,SEAT_020
TIC_00040,SEAT_009
TIC_00041,SEAT_010
TIC_00042,SEAT_025
TIC_00043,SEAT_016
TIC_00044,SEAT_026
TIC_00045,SEAT_027
TIC_00046,SEAT_019
TIC_00047,SEAT_006
TIC_00048,SEAT_017
TIC_00049,SEAT_032
TIC_00050,SEAT_036
TIC_00051,SEAT_029
TIC_00052,SEAT_003
TIC_00053,SEAT_034
TIC_00054,SEAT_020
TIC_00055,SEAT_036
TIC_00056,SEAT_008
TIC_00057,SEAT_035
TIC_00058,SEAT_016
TIC_00059,SEAT_027
TIC_00060,SEAT_002
TIC_00061,SEAT_032
TIC_00062,SEAT_005
TIC_00063,SEAT_001
TIC_00064,SEAT_031
TIC_00065,SEAT_006
TIC_00066,SEAT_028
TIC_00067,SEAT_032
TIC_00068,SEAT_003
TIC_00069,SEAT_025
TIC_00070,SEAT_017
TIC_00071,SEAT_027
TIC_00072,SEAT_030
TIC_00073,SEAT_018
TIC_00074,SEAT_006
TIC_00075,SEAT_033
TIC_00076,SEAT_013
TIC_00077,SEAT_030
TIC_00078,SEAT_028
TIC_00079,SEAT_006
TIC_00080,SEAT_028
TIC_00081,SEAT_010
TIC_00082,SEAT_010
TIC_00083,SEAT_035
TIC_00084,SEAT_032
TIC_00085,SEAT_013
TIC_00086,SEAT_015
TIC_00087,SEAT_021
TIC_00088,SEAT_036
TIC_00089,SEAT_019
TIC_00090,SEAT_024
TIC_00091,SEAT_032
TIC_00092,SEAT_025
TIC_00093,SEAT_029
TIC_00094,SEAT_013
TIC_00095,SEAT_035
TIC_00096,SEAT_028
TIC_00097,SEAT_009
TIC_00098,SEAT_036
TIC_00099,SEAT_028
TIC_00100,SEAT_036
TIC_00101,SEAT_008
TIC_00102,SEAT_007
TIC_00103,SEAT_025
TIC_00104,SEAT_016
TIC_00105,SEAT_025
TIC_00106,SEAT_002
TIC_00107,SEAT_007
TIC_00108,SEAT_021
TIC_00109,SEAT_009
TIC_00110,SEAT_030
TIC_00111,SEAT_023
TIC_00112,SEAT_024
TIC_00113,SEAT_036
TIC_00114,SEAT_003
TIC_00115,SEAT_034
TIC_00116,SEAT_011
TIC_00117,SEAT_019
TIC_00118,SEAT_009
TIC_00119,SEAT_028
TIC_00120,SEAT_020
TIC_00121,SEAT_022
TIC_00122,SEAT_002
TIC_00123,SEAT_008
TIC_00124,SEAT_003
TIC_00125,SEAT_017
TIC_00126,SEAT_015
TIC_00127,SEAT_026
TIC_00128,SEAT_012
TIC_00129,SEAT_033
TIC_00130,SEAT_013
TIC_00131,SEAT_005
TIC_00132,SEAT_007
TIC_00133,SEAT_001
TIC_00134,SEAT_001
TIC_00135,SEAT_019
TIC_00136,SEAT_011
TIC_00137,SEAT_012
TIC_00138,SEAT_010
TIC_00139,SEAT_025
TIC_00140,SEAT_002
TIC_00141,SEAT_007
TIC_00142,SEAT_026
TIC_00143,SEAT_016
TIC_00144,SEAT_006
TIC_00145,SEAT_017
TIC_00146,SEAT_001
TIC_00147,SEAT_016
TIC_00148,SEAT_033
TIC_00149,SEAT_004
TIC_00150,SEAT_025
TIC_00151,SEAT_029
TIC_00152,SEAT_013
TIC_00153,SEAT_011
TIC_00154,SEAT_002
TIC_00155,SEAT_003
TIC_00156,SEAT_016
TIC_00157,SEAT_014
TIC_00158,SEAT_029
TIC_00159,SEAT_001
TIC_00160,SEAT_005
TIC_00161,SEAT_017
TIC_00162,SEAT_034
TIC_00163,SEAT_005
TIC_00164,SEAT_005
TIC_00165,SEAT_028
TIC_00166,SEAT_023
TIC_00167,SEAT_030
TIC_00168,SEAT_004
