tic_id,price,bill_id,trip_id
TIC_00001,250000.0,BILL_0001,TRIP_0006
TIC_00002,350000.0,BILL_0002,TRIP_0059
TIC_00003,350000.0,BILL_0002,TRIP_0059
TIC_00004,400000.0,BILL_0003,TRIP_0061
TIC_00005,400000.0,BILL_0003,TRIP_0061
TIC_00006,200000.0,BILL_0004,TRIP_0069
TIC_00007,200000.0,BILL_0004,TRIP_0069
TIC_00008,200000.0,BILL_0004,TRIP_0069
TIC_00009,200000.0,BILL_0005,TRIP_0012
TIC_00010,350000.0,BILL_0006,TRIP_0087
TIC_00011,350000.0,BILL_0006,TRIP_0087
TIC_00012,400000.0,BILL_0007,TRIP_0053
TIC_00013,250000.0,BILL_0008,TRIP_0079
TIC_00014,250000.0,BILL_0008,TRIP_0079
TIC_00015,250000.0,BILL_0008,TRIP_0079
TIC_00016,250000.0,BILL_0009,TRIP_0078
TIC_00017,250000.0,BILL_0009,TRIP_0078
TIC_00018,250000.0,BILL_0009,TRIP_0078
TIC_00019,200000.0,BILL_0010,TRIP_0019
TIC_00020,200000.0,BILL_0011,TRIP_0023
TIC_00021,200000.0,BILL_0011,TRIP_0023
TIC_00022,250000.0,BILL_0012,TRIP_0048
TIC_00023,250000.0,BILL_0012,TRIP_0048
TIC_00024,400000.0,BILL_0013,TRIP_0053
TIC_00025,350000.0,BILL_0014,TRIP_0008
TIC_00026,350000.0,BILL_0014,TRIP_0008
TIC_00027,350000.0,BILL_0014,TRIP_0008
TIC_00028,200000.0,BILL_0015,TRIP_0092
TIC_00029,250000.0,BILL_0016,TRIP_0055
TIC_00030,250000.0,BILL_0017,TRIP_0024
TIC_00031,250000.0,BILL_0017,TRIP_0024
TIC_00032,250000.0,BILL_0017,TRIP_0024
TIC_00033,250000.0,BILL_0018,TRIP_0002
TIC_00034,250000.0,BILL_0018,TRIP_0002
TIC_00035,250000.0,BILL_0019,TRIP_0024
TIC_00036,400000.0,BILL_0020,TRIP_0066
TIC_00037,250000.0,BILL_0021,TRIP_0072
TIC_00038,250000.0,BILL_0021,TRIP_0072
TIC_00039,250000.0,BILL_0021,TRIP_0072
TIC_00040,400000.0,BILL_0022,TRIP_0053
TIC_00041,400000.0,BILL_0022,TRIP_0053
TIC_00042,400000.0,BILL_0023,TRIP_0083
TIC_00043,400000.0,BILL_0024,TRIP_0060
TIC_00044,400000.0,BILL_0024,TRIP_0060
TIC_00045,200000.0,BILL_0025,TRIP_0049
TIC_00046,200000.0,BILL_0025,TRIP_0049
TIC_00047,200000.0,BILL_0025,TRIP_0049
TIC_00048,350000.0,BILL_0026,TRIP_0042
TIC_00049,350000.0,BILL_0026,TRIP_0042
TIC_00050,400000.0,BILL_0027,TRIP_0061
TIC_00051,400000.0,BILL_0027,TRIP_0061
TIC_00052,400000.0,BILL_0027,TRIP_0061
TIC_00053,400000.0,BILL_0028,TRIP_0053
