trip_id,dep_time,arr_time,duration,type,price,dep_sta_id,arr_sta_id,license_plate
TRIP_0001,2026-04-22 19:00:00,2026-04-23 00:17:00,317,normal,200000,LOC_HN_004,LOC_NA_001,29B-777.78
TRIP_0002,2026-04-20 06:00:00,2026-04-20 11:07:00,307,normal,250000,LOC_HT_003,LOC_QB_002,43B-847.16
TRIP_0003,2026-04-20 12:00:00,2026-04-20 18:42:00,402,normal,200000,LOC_HN_004,LOC_QB_002,37B-494.99
TRIP_0004,2026-04-22 22:00:00,2026-04-23 04:44:00,404,vip,400000,LOC_QB_001,LOC_HN_004,38B-642.35
TRIP_0005,2026-04-24 09:00:00,2026-04-24 14:00:00,300,vip,350000,LOC_HN_003,LOC_QB_001,37B-340.65
TRIP_0006,2026-04-21 13:00:00,2026-04-21 17:00:00,240,normal,250000,LOC_HN_001,LOC_NA_002,43B-212.63
TRIP_0007,2026-04-20 07:00:00,2026-04-20 11:35:00,275,normal,200000,LOC_HT_002,LOC_QB_001,38B-524.48
TRIP_0008,2026-04-23 08:00:00,2026-04-23 15:29:00,449,vip,350000,LOC_HN_002,LOC_QB_003,37B-291.34
TRIP_0009,2026-04-23 18:00:00,2026-04-23 22:43:00,283,normal,200000,LOC_NA_002,LOC_HN_003,37B-669.19
TRIP_0010,2026-04-22 21:00:00,2026-04-23 01:42:00,282,normal,250000,LOC_DN_002,LOC_HT_003,30F-216.30
TRIP_0011,2026-04-23 16:00:00,2026-04-23 20:17:00,257,normal,200000,LOC_HN_002,LOC_QB_002,43B-489.84
TRIP_0012,2026-04-20 11:00:00,2026-04-20 18:46:00,466,normal,200000,LOC_HT_003,LOC_NA_002,73B-157.22
TRIP_0013,2026-04-23 20:00:00,2026-04-24 02:35:00,395,vip,350000,LOC_HT_003,LOC_QB_002,43B-259.50
TRIP_0014,2026-04-20 11:00:00,2026-04-20 17:30:00,390,vip,400000,LOC_HN_004,LOC_NA_002,37B-437.23
TRIP_0015,2026-04-23 19:00:00,2026-04-23 23:29:00,269,normal,250000,LOC_NA_002,LOC_HT_002,29B-367.21
TRIP_0016,2026-04-24 14:00:00,2026-04-24 21:52:00,472,vip,400000,LOC_NA_003,LOC_QB_003,29B-926.70
